TRATAMENTOS;REP;COL;PAR;N
20%;1;A;0;0
20%;2;A;0;0
20%;3;A;1;1
20%;4;A;0;0
20%;1;A;1;2
20%;2;A;1;1
20%;3;A;0;0
20%;4;A;0;0
20%;1;A;0;0
20%;2;A;1;1
20%;3;A;1;1
20%;4;A;1;1
20%;1;A;0;0
20%;2;A;0;0
20%;3;A;0;0
20%;4;A;0;0
20%;1;A;0;0
20%;2;A;0;0
20%;3;A;0;0
20%;4;A;0;0
20%;1;B;0;0
20%;2;B;1;2
20%;3;B;0;0
20%;4;B;0;0
20%;1;B;0;0
20%;2;B;1;1
20%;3;B;0;0
20%;4;B;0;0
20%;1;B;1;1
20%;2;B;0;0
20%;3;B;0;0
20%;4;B;1;1
20%;1;B;0;0
20%;2;B;1;1
20%;3;B;0;0
20%;4;B;1;1
20%;1;B;0;0
20%;2;B;0;0
20%;3;B;0;0
20%;4;B;0;0
20%;1;C;0;0
20%;2;C;0;0
20%;3;C;1;2
20%;4;C;0;0
20%;1;C;1;3
20%;2;C;0;0
20%;3;C;1;1
20%;4;C;0;0
20%;1;C;1;1
20%;2;C;0;0
20%;3;C;0;0
20%;4;C;1;1
20%;1;C;0;0
20%;2;C;0;0
20%;3;C;0;0
20%;4;C;1;1
20%;1;C;0;0
20%;2;C;1;1
20%;3;C;0;0
20%;4;C;1;1
40%;1;A;0;0
40%;2;A;1;1
40%;3;A;1;2
40%;4;A;0;0
40%;1;A;1;1
40%;2;A;0;0
40%;3;A;1;2
40%;4;A;1;1
40%;1;A;1;1
40%;2;A;1;2
40%;3;A;0;0
40%;4;A;0;0
40%;1;A;0;0
40%;2;A;0;0
40%;3;A;0;0
40%;4;A;0;0
40%;1;A;0;0
40%;2;A;1;1
40%;3;A;0;0
40%;4;A;1;1
40%;1;C;0;0
40%;2;C;0;0
40%;3;C;1;1
40%;4;C;1;2
40%;1;C;0;0
40%;2;C;0;0
40%;3;C;0;0
40%;4;C;0;0
40%;1;C;1;2
40%;2;C;0;0
40%;3;C;0;0
40%;4;C;0;0
40%;1;C;1;1
40%;2;C;0;0
40%;3;C;0;0
40%;4;C;0;0
40%;1;C;1;1
40%;2;C;0;0
40%;3;C;0;0
40%;4;C;1;1
60%;1;A;0;0
60%;2;A;1;1
60%;3;A;0;0
60%;4;A;0;0
60%;1;A;1;1
60%;2;A;0;0
60%;3;A;0;0
60%;4;A;0;0
60%;1;A;0;0
60%;2;A;1;1
60%;3;A;1;2
60%;4;A;0;0
60%;1;A;0;0
60%;2;A;0;0
60%;3;A;1;1
60%;4;A;0;0
60%;1;A;0;0
60%;2;A;0;0
60%;3;A;0;0
60%;4;A;0;0
60%;1;B;0;0
60%;2;B;1;1
60%;3;B;0;0
60%;4;B;0;0
60%;1;B;1;1
60%;2;B;0;0
60%;3;B;0;0
60%;4;B;1;1
60%;1;B;1;1
60%;2;B;0;0
60%;3;B;1;1
60%;4;B;0;0
60%;1;B;0;0
60%;2;B;1;1
60%;3;B;0;0
60%;4;B;0;0
60%;1;B;1;1
60%;2;B;1;1
60%;3;B;0;0
60%;4;B;0;0
60%;1;C;0;0
60%;2;C;1;1
60%;3;C;1;1
60%;4;C;1;3
60%;1;C;0;0
60%;2;C;0;0
60%;3;C;1;1
60%;4;C;0;0
60%;1;C;1;1
60%;2;C;0;0
60%;3;C;0;0
60%;4;C;1;2
60%;1;C;0;0
60%;2;C;1;1
60%;3;C;0;0
60%;4;C;0;0
60%;1;C;0;0
60%;2;C;0;0
60%;3;C;1;1
60%;4;C;1;1
