area,TRATAMENTO,CLASSE,REP,COL,S,N,H
F1b,VINTE F,floresta,1,B,2,3,0.6365
F1b,VINTE F,floresta,2,B,6,6,1.792
F1b,VINTE F,floresta,3,B,3,3,1.099
F1b,VINTE F,floresta,4,B,8,9,2.043
F1c,VINTE F,floresta,1,C,10,12,2.254
F1c,VINTE F,floresta,2,C,13,18,2.476
F1c,VINTE F,floresta,3,C,4,5,1.332
F1c,VINTE F,floresta,4,C,10,11,2.272
F2a,QUARENTA F,floresta,1,A,3,9,0.995
F2a,QUARENTA F,floresta,2,A,5,7,1.475
F2a,QUARENTA F,floresta,3,A,8,9,2.043
F2a,QUARENTA F,floresta,4,A,7,8,1.906
F2b,QUARENTA F,floresta,1,B,8,31,1.465
F2b,QUARENTA F,floresta,2,B,5,5,1.609
F2b,QUARENTA F,floresta,3,B,6,7,1.748
F2c,SESSENTA F,floresta,1,C,5,7,1.55
F2c,SESSENTA F,floresta,2,C,5,7,1.55
F2c,SESSENTA F,floresta,3,C,14,14,2.639
F2c,SESSENTA F,floresta,4,C,5,5,1.609
F3b,SESSENTA F,floresta,1,B,4,5,1.332
F3b,SESSENTA F,floresta,2,B,7,9,1.889
F3b,SESSENTA F,floresta,3,B,2,2,0.6931
F3b,SESSENTA F,floresta,4,B,5,5,1.609
F3c,SESSENTA F,floresta,1,C,21,41,2.721
F3c,SESSENTA F,floresta,2,C,14,27,2.361
F3c,SESSENTA F,floresta,3,C,18,28,2.748
F3c,SESSENTA F,floresta,4,C,23,45,2.66
F4a,OITENTA F,floresta,1,A,25,45,2.982
F4a,OITENTA F,floresta,2,A,14,18,2.524
F4a,OITENTA F,floresta,3,A,26,70,2.634
F4a,OITENTA F,floresta,4,A,16,39,2.365
F4b,OITENTA F,floresta,1,B,13,31,2.408
F4b,OITENTA F,floresta,2,B,6,10,1.643
F4b,OITENTA F,floresta,3,B,5,10,1.557
F4b,OITENTA F,floresta,4,B,7,16,1.721
F4c,OITENTA F,floresta,1,C,1,1,0
F4c,OITENTA F,floresta,2,C,1,1,0
F4c,OITENTA F,floresta,3,C,1,1,0
C1a,VINTE C,café,1,A,9,15,1.987
C1a,VINTE C,café,2,A,13,17,2.476
C1a,VINTE C,café,3,A,11,13,2.352
C1a,VINTE C,café,4,A,18,28,2.682
C1b,VINTE C,café,1,B,13,15,2.523
C1b,VINTE C,café,2,B,6,6,1.792
C1b,VINTE C,café,3,B,10,11,2.272
C1b,VINTE C,café,4,B,6,6,1.792
C1c,VINTE C,café,1,C,4,6,1.33
C1c,VINTE C,café,2,C,8,8,2.079
C1c,VINTE C,café,3,C,7,10,1.834
C1c,VINTE C,café,4,C,1,1,0
C2a,QUARENTA C,café,1,A,15,18,2.659
C2a,QUARENTA C,café,2,A,19,24,2.867
C2a,QUARENTA C,café,3,A,3,3,1.099
C2a,QUARENTA C,café,4,A,0,0,0
C2c,QUARENTA C,café,1,C,9,12,2.138
C2c,QUARENTA C,café,2,C,9,10,2.164
C2c,QUARENTA C,café,3,C,12,17,2.425
C2c,QUARENTA C,café,4,C,18,25,2.71
C3a,SESSENTA C,café,1,A,7,8,1.906
C3a,SESSENTA C,café,2,A,6,6,1.792
C3a,SESSENTA C,café,3,A,13,20,2.415
C3a,SESSENTA C,café,4,A,16,17,2.752
C3b,SESSENTA C,café,1,B,11,16,2.307
C3b,SESSENTA C,café,2,B,5,9,1.303
C3b,SESSENTA C,café,3,B,3,3,1.099
C3b,SESSENTA C,café,4,B,7,7,1.946
C3c,SESSENTA C,café,1,C,1,1,0
C3c,SESSENTA C,café,2,C,4,4,1.386
C3c,SESSENTA C,café,3,C,3,4,1.04
C3c,SESSENTA C,café,4,C,7,9,1.889
S1a,VINTE S,silvicultura,1,A,18,23,2.811
S1a,VINTE S,silvicultura,2,A,16,26,2.631
S1a,VINTE S,silvicultura,3,A,7,9,1.831
S1a,VINTE S,silvicultura,4,A,9,13,2.098
S1b,VINTE S,silvicultura,1,B,17,47,2.44
S1b,VINTE S,silvicultura,2,B,17,38,2.366
S1b,VINTE S,silvicultura,3,B,9,25,1.847
S1b,VINTE S,silvicultura,4,B,20,55,2.48
S1c,VINTE S,silvicultura,1,C,13,28,2.313
S1c,VINTE S,silvicultura,2,C,6,9,1.677
S1c,VINTE S,silvicultura,3,C,2,5,0.5004
S1c,VINTE S,silvicultura,4,C,9,14,2.045
S2a,QUARENTA S,silvicultura,1,A,2,2,0.6931
S2a,QUARENTA S,silvicultura,2,A,8,11,1.972
S2a,QUARENTA S,silvicultura,3,A,7,9,1.889
S2b,QUARENTA S,silvicultura,1,B,7,14,1.567
S2b,QUARENTA S,silvicultura,2,B,7,15,1.58
S2b,QUARENTA S,silvicultura,3,B,22,56,2.835
S2b,QUARENTA S,silvicultura,4,B,16,22,2.626
S2c,QUARENTA S,silvicultura,1,C,11,23,2.22
S2c,QUARENTA S,silvicultura,2,C,8,10,2.025
