codigo,area,CLASSE,REP,COL,S,N,H,UR,T,D_EV1,F1_LC,Fsa1_LC (4),FCa1_LC (12),S1_LC (9),P1_LC (15),MU1_LC (21),NVeg1_LC (25),So1_LC (39),LT1_LC (41),C1_LC (46),Cit1_LC (47),LP1_LC (48),F1_LP,F1_EL,F1_NP,F1_GP,F1_SP,F1_OC,D_EV2,F2_LC,Fsa2_LC (4),FCa2_LC (12),S2_LC (9),P2_LC (15),MU2_LC (21),NVeg2_LC (25),So2_LC (39),LT2_LC (41),C2_LC (46),LP2_LC (48),Cit2_LC (47),F2_LP,F2_EL,F2_NP,F2_GP,F2_SP,F2_OC,D_EV3,F3_LC__m,Fsa3_LC (4),S3_LC (9),FCa3_LC (12),P3_LC (15),MU3_LC (21),NVeg3_LC (25),So3_LC (39),LT3_LC (41),C3_LC (46),LP3_LC (48),Cit3_LC (47),F3_LP,F3_EL,F3_NP,F3_GP,F3_SP,F3_OC
F1b1,F1b,floresta,1,B,2,3,0.6365,93.8,29.4,0.748035109,366300,0,0,18000,566100,724500,12600,0,134100,1534500,0,13500,0.108707265,14580,9,133200,5400,81900,0.730417296,1619100,0,45000,200700,2250900,2619900,63000,0,551700,6161400,26100,0,0.119598458,57720,41,294300,1800,369000,0.736900916,3587400,0,488700,98100,6399000,6072300,113400,0,1052100,12621600,42300,0,0.117716547,130980,95,477900,900,756900
F1b2,F1b,floresta,2,B,6,6,1.792,93.8,29.4,0.748035109,366300,0,0,18000,566100,724500,12600,0,134100,1534500,0,13500,0.108707265,14580,9,133200,5400,81900,0.730417296,1619100,0,45000,200700,2250900,2619900,63000,0,551700,6161400,26100,0,0.119598458,57720,41,294300,1800,369000,0.736900916,3587400,0,488700,98100,6399000,6072300,113400,0,1052100,12621600,42300,0,0.117716547,130980,95,477900,900,756900
F1b3,F1b,floresta,3,B,3,3,1.099,93.8,29.4,0.748035109,366300,0,0,18000,566100,724500,12600,0,134100,1534500,0,13500,0.108707265,14580,9,133200,5400,81900,0.730417296,1619100,0,45000,200700,2250900,2619900,63000,0,551700,6161400,26100,0,0.119598458,57720,41,294300,1800,369000,0.736900916,3587400,0,488700,98100,6399000,6072300,113400,0,1052100,12621600,42300,0,0.117716547,130980,95,477900,900,756900
F1b4,F1b,floresta,4,B,8,9,2.043,93.8,29.4,0.748035109,366300,0,0,18000,566100,724500,12600,0,134100,1534500,0,13500,0.108707265,14580,9,133200,5400,81900,0.730417296,1619100,0,45000,200700,2250900,2619900,63000,0,551700,6161400,26100,0,0.119598458,57720,41,294300,1800,369000,0.736900916,3587400,0,488700,98100,6399000,6072300,113400,0,1052100,12621600,42300,0,0.117716547,130980,95,477900,900,756900
F1c1,F1c,floresta,1,C,10,12,2.254,90.7,22.7,0.829910201,1125900,0,351900,7200,1336500,323100,0,0,239400,0,0,0,0.332712766,16500,5,1026900,6300,690300,0.719055551,2421000,7200,1672200,288900,6432300,1578600,15300,0,780300,341100,0,0,0.178535873,56520,36,1530000,900,1080000,0.743625729,5537700,7200,770400,5165100,13130100,3243600,21600,0,1433700,341100,0,0,0.181520489,129000,71,1628100,900,2482200
F1c2,F1c,floresta,2,C,13,18,2.476,90.7,22.7,0.829910201,1125900,0,351900,7200,1336500,323100,0,0,239400,0,0,0,0.332712766,16500,5,1026900,6300,690300,0.719055551,2421000,7200,1672200,288900,6432300,1578600,15300,0,780300,341100,0,0,0.178535873,56520,36,1530000,900,1080000,0.743625729,5537700,7200,770400,5165100,13130100,3243600,21600,0,1433700,341100,0,0,0.181520489,129000,71,1628100,900,2482200
F1c3,F1c,floresta,3,C,4,5,1.332,90.7,22.7,0.829910201,1125900,0,351900,7200,1336500,323100,0,0,239400,0,0,0,0.332712766,16500,5,1026900,6300,690300,0.719055551,2421000,7200,1672200,288900,6432300,1578600,15300,0,780300,341100,0,0,0.178535873,56520,36,1530000,900,1080000,0.743625729,5537700,7200,770400,5165100,13130100,3243600,21600,0,1433700,341100,0,0,0.181520489,129000,71,1628100,900,2482200
F1c4,F1c,floresta,4,C,10,11,2.272,90.7,22.7,0.829910201,1125900,0,351900,7200,1336500,323100,0,0,239400,0,0,0,0.332712766,16500,5,1026900,6300,690300,0.719055551,2421000,7200,1672200,288900,6432300,1578600,15300,0,780300,341100,0,0,0.178535873,56520,36,1530000,900,1080000,0.743625729,5537700,7200,770400,5165100,13130100,3243600,21600,0,1433700,341100,0,0,0.181520489,129000,71,1628100,900,2482200
F2a1,F2a,floresta,1,A,3,9,0.995,93.5,21.9,0.916517945,950400,0,390600,546300,718200,529200,76500,0,0,0,0,0,0.281075326,25260,11,471600,900,369000,0.829460523,3269700,18000,1756800,1872000,3635100,2147400,94500,0,213300,0,0,0,0.241411389,91020,37,849600,900,1170000,0.823138424,6628500,59400,2741400,5581800,9206100,4306500,223200,0,674100,0,0,0,0.217327156,184680,78,1040400,900,2296800
F2a2,F2a,floresta,2,A,5,7,1.475,93.5,21.9,0.916517945,950400,0,390600,546300,718200,529200,76500,0,0,0,0,0,0.281075326,25260,11,471600,900,369000,0.829460523,3269700,18000,1756800,1872000,3635100,2147400,94500,0,213300,0,0,0,0.241411389,91020,37,849600,900,1170000,0.823138424,6628500,59400,2741400,5581800,9206100,4306500,223200,0,674100,0,0,0,0.217327156,184680,78,1040400,900,2296800
