AMOSTRA,area,REP,COL,H,N,S,UR,T,D_EV1,F1_LC__m,F1_LP,F1_EL__m,F1_NP,F1_GP__m,F1_SP__m,F1_OC__m,D_EV2,F2_LC__m,F2_LP,F2_EL__m,F2_NP,F2_GP__m,F2_SP__m,F2_OC__m,D_EV3,F3_LC__m,F3_LP,F3_EL__m,F3_NP,F3_GP__m,F3_SP__m,F3_OC__m
F1b1,F1b,1,B,0.6365,3,2,93.8,29.4,0.748035109,366300,0.108707265,14580,9,133200,5400,81900,0.730417296,1619100,0.119598458,57720,41,294300,1800,369000,0.736900916,3587400,0.117716547,130980,95,477900,900,756900
F1b2,F1b,2,B,1.792,6,6,93.8,29.4,0.748035109,366300,0.108707265,14580,9,133200,5400,81900,0.730417296,1619100,0.119598458,57720,41,294300,1800,369000,0.736900916,3587400,0.117716547,130980,95,477900,900,756900
F1b3,F1b,3,B,1.099,3,3,93.8,29.4,0.748035109,366300,0.108707265,14580,9,133200,5400,81900,0.730417296,1619100,0.119598458,57720,41,294300,1800,369000,0.736900916,3587400,0.117716547,130980,95,477900,900,756900
F1b4,F1b,4,B,2.043,9,8,93.8,29.4,0.748035109,366300,0.108707265,14580,9,133200,5400,81900,0.730417296,1619100,0.119598458,57720,41,294300,1800,369000,0.736900916,3587400,0.117716547,130980,95,477900,900,756900
F1c1,F1c,1,C,2.254,12,10,90.7,22.7,0.829910201,1125900,0.332712766,16500,5,1026900,6300,690300,0.719055551,2421000,0.178535873,56520,36,1530000,900,1080000,0.743625729,5537700,0.181520489,129000,71,1628100,900,2482200
F1c2,F1c,2,C,2.476,18,13,90.7,22.7,0.829910201,1125900,0.332712766,16500,5,1026900,6300,690300,0.719055551,2421000,0.178535873,56520,36,1530000,900,1080000,0.743625729,5537700,0.181520489,129000,71,1628100,900,2482200
F1c3,F1c,3,C,1.332,5,4,90.7,22.7,0.829910201,1125900,0.332712766,16500,5,1026900,6300,690300,0.719055551,2421000,0.178535873,56520,36,1530000,900,1080000,0.743625729,5537700,0.181520489,129000,71,1628100,900,2482200
F1c4,F1c,4,C,2.272,11,10,90.7,22.7,0.829910201,1125900,0.332712766,16500,5,1026900,6300,690300,0.719055551,2421000,0.178535873,56520,36,1530000,900,1080000,0.743625729,5537700,0.181520489,129000,71,1628100,900,2482200
F2a1,F2a,1,A,0.995,9,3,93.5,21.9,0.916517945,950400,0.281075326,25260,11,471600,900,369000,0.829460523,3269700,0.241411389,91020,37,849600,900,1170000,0.823138424,6628500,0.217327156,184680,78,1040400,900,2296800
F2a2,F2a,2,A,1.475,7,5,93.5,21.9,0.916517945,950400,0.281075326,25260,11,471600,900,369000,0.829460523,3269700,0.241411389,91020,37,849600,900,1170000,0.823138424,6628500,0.217327156,184680,78,1040400,900,2296800
F2a3,F2a,3,A,2.043,9,8,93.5,21.9,0.916517945,950400,0.281075326,25260,11,471600,900,369000,0.829460523,3269700,0.241411389,91020,37,849600,900,1170000,0.823138424,6628500,0.217327156,184680,78,1040400,900,2296800
F2a4,F2a,4,A,1.906,8,7,93.5,21.9,0.916517945,950400,0.281075326,25260,11,471600,900,369000,0.829460523,3269700,0.241411389,91020,37,849600,900,1170000,0.823138424,6628500,0.217327156,184680,78,1040400,900,2296800
F2b1,F2b,1,B,1.465,31,8,93.3,22,0.6715086,2427300,0.713680868,10560,2,2425500,1800,2120400,0.64777843,6358500,0.466583014,40740,15,6062400,900,5285700,0.697057635,8268300,0.269358196,76500,47,7210800,1800,6461100
F2b2,F2b,2,B,1.609,5,5,93.3,22,0.6715086,2427300,0.713680868,10560,2,2425500,1800,2120400,0.64777843,6358500,0.466583014,40740,15,6062400,900,5285700,0.697057635,8268300,0.269358196,76500,47,7210800,1800,6461100
F2b3,F2b,3,B,1.748,7,6,93.3,22,0.6715086,2427300,0.713680868,10560,2,2425500,1800,2120400,0.64777843,6358500,0.466583014,40740,15,6062400,900,5285700,0.697057635,8268300,0.269358196,76500,47,7210800,1800,6461100
F2c1,F2c,1,C,1.55,7,5,97.2,19.4,0.8056990231945201,1865700,0.549721559,24780,7,1685700,3600,1219500,0.748531691,5640300,0.41407334,67620,23,5051700,1800,3881700,0.724057813,8820900,0.2877569,119040,53,7707600,900,5852700
F2c2,F2c,2,C,1.55,7,5,97.2,19.4,0.8056990231945201,1865700,0.549721559,24780,7,1685700,3600,1219500,0.748531691,5640300,0.41407334,67620,23,5051700,1800,3881700,0.724057813,8820900,0.2877569,119040,53,7707600,900,5852700
F2c3,F2c,3,C,2.639,14,14,97.2,19.4,0.8056990231945201,1865700,0.549721559,24780,7,1685700,3600,1219500,0.748531691,5640300,0.41407334,67620,23,5051700,1800,3881700,0.724057813,8820900,0.2877569,119040,53,7707600,900,5852700
F2c4,F2c,4,C,1.609,5,5,97.2,19.4,0.8056990231945201,1865700,0.549721559,24780,7,1685700,3600,1219500,0.748531691,5640300,0.41407334,67620,23,5051700,1800,3881700,0.724057813,8820900,0.2877569,119040,53,7707600,900,5852700
F3b1,F3b,1,B,1.332,5,4,94.7,20.6,0.55540266,2737800,0.80861244,10920,2,2734200,3600,2417400,0.645604382,7928100,0.584267427,46620,14,7634700,7200,6696000,0.65074454,16025400,0.525002948,129480,35,13354200,900,12551400
F3b2,F3b,2,B,1.889,9,7,94.7,20.6,0.55540266,2737800,0.80861244,10920,2,2734200,3600,2417400,0.645604382,7928100,0.584267427,46620,14,7634700,7200,6696000,0.65074454,16025400,0.525002948,129480,35,13354200,900,12551400
F3b3,F3b,3,B,0.6931,2,2,94.7,20.6,0.55540266,2737800,0.80861244,10920,2,2734200,3600,2417400,0.645604382,7928100,0.584267427,46620,14,7634700,7200,6696000,0.65074454,16025400,0.525002948,129480,35,13354200,900,12551400
F3b4,F3b,4,B,1.609,5,5,94.7,20.6,0.55540266,2737800,0.80861244,10920,2,2734200,3600,2417400,0.645604382,7928100,0.584267427,46620,14,7634700,7200,6696000,0.65074454,16025400,0.525002948,129480,35,13354200,900,12551400
F3c1,F3c,1,C,2.721,41,21,91.2,20.4,0.677924413,2312100,0.67962963,33180,8,2174400,900,1431000,0.764923645,6630300,0.486302726,110880,35,5686200,900,3870000,0.75271406,15327000,0.498974509,239340,53,10885500,900,9372600
F3c2,F3c,2,C,2.361,27,14,91.2,20.4,0.677924413,2312100,0.67962963,33180,8,2174400,900,1431000,0.764923645,6630300,0.486302726,110880,35,5686200,900,3870000,0.75271406,15327000,0.498974509,239340,53,10885500,900,9372600
F3c3,F3c,3,C,2.748,28,18,91.2,20.4,0.677924413,2312100,0.67962963,33180,8,2174400,900,1431000,0.764923645,6630300,0.486302726,110880,35,5686200,900,3870000,0.75271406,15327000,0.498974509,239340,53,10885500,900,9372600
F3c4,F3c,4,C,2.66,45,23,91.2,20.4,0.677924413,2312100,0.67962963,33180,8,2174400,900,1431000,0.764923645,6630300,0.486302726,110880,35,5686200,900,3870000,0.75271406,15327000,0.498974509,239340,53,10885500,900,9372600
F4a1,F4a,1,A,2.982,45,25,88.5,19.8,0.584266504,2540700,0.744462025,6780,10,63000,900,39600,0.557467562,10824300,0.792344687,74040,6,10778400,900,8648100,0.635491603,20709900,0.711885905,157500,30,19878300,900,16318800
F4a2,F4a,2,A,2.524,18,14,88.5,19.8,0.584266504,2540700,0.744462025,6780,10,63000,900,39600,0.557467562,10824300,0.792344687,74040,6,10778400,900,8648100,0.635491603,20709900,0.711885905,157500,30,19878300,900,16318800
F4a3,F4a,3,A,2.634,70,26,88.5,19.8,0.584266504,2540700,0.744462025,6780,10,63000,900,39600,0.557467562,10824300,0.792344687,74040,6,10778400,900,8648100,0.635491603,20709900,0.711885905,157500,30,19878300,900,16318800
F4a4,F4a,4,A,2.365,39,16,88.5,19.8,0.584266504,2540700,0.744462025,6780,10,63000,900,39600,0.557467562,10824300,0.792344687,74040,6,10778400,900,8648100,0.635491603,20709900,0.711885905,157500,30,19878300,900,16318800
F4b1,F4b,1,B,2.408,31,13,95.9,15.7,0.653070879,1772100,0.984007996,8400,1,1772100,1772100,1530000,0.46911469,6721200,0.915420446,22500,3,6564600,21600,6085800,0.490200131,14323500,0.839310199,55620,15,12981600,900,12798900
F4b2,F4b,2,B,1.643,10,6,95.9,15.7,0.653070879,1772100,0.984007996,8400,1,1772100,1772100,1530000,0.46911469,6721200,0.915420446,22500,3,6564600,21600,6085800,0.490200131,14323500,0.839310199,55620,15,12981600,900,12798900
F4b3,F4b,3,B,1.557,10,5,95.9,15.7,0.653070879,1772100,0.984007996,8400,1,1772100,1772100,1530000,0.46911469,6721200,0.915420446,22500,3,6564600,21600,6085800,0.490200131,14323500,0.839310199,55620,15,12981600,900,12798900
F4b4,F4b,4,B,1.721,16,7,95.9,15.7,0.653070879,1772100,0.984007996,8400,1,1772100,1772100,1530000,0.46911469,6721200,0.915420446,22500,3,6564600,21600,6085800,0.490200131,14323500,0.839310199,55620,15,12981600,900,12798900
F4c1,F4c,1,C,0,1,1,94.4,18.6,0.465522227,3118500,0.918124006,14160,2,3117600,900,2723400,0.560508897,10198800,0.748332563,73560,9,10056600,900,8185500,0.522483883,,,,,,,
"	23275800	0.758750183	152160	8	23148000	900	19173600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F4c2,F4c,2,C,0,1,1,94.4,18.6,0.465522227,3118500,0.918124006,14160,2,3117600,900,2723400,0.560508897,10198800,0.748332563,73560,9,10056600,900,8185500,0.522483883,,,,,,,
"	23275800	0.758750183	152160	8	23148000	900	19173600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F4c3,F4c,3,C,0,1,1,94.4,18.6,0.465522227,3118500,0.918124006,14160,2,3117600,900,2723400,0.560508897,10198800,0.748332563,73560,9,10056600,900,8185500,0.522483883,,,,,,,
"	23275800	0.758750183	152160	8	23148000	900	19173600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1a1,C1a,1,A,1.987,15,9,90.3,23.3,0.7641793535382977,493200,0.146055437,18540,21,116100,900,114300,0.7527415823553048,1933200,0.142914172,62400,45,270000,900,531000,0.7039456928129142,,,,,,,
"	3825000	0.125594728	117540	85	1019700	900	1179000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1a2,C1a,2,A,2.476,17,13,90.3,23.3,0.7641793535382977,493200,0.146055437,18540,21,116100,900,114300,0.7527415823553048,1933200,0.142914172,62400,45,270000,900,531000,0.7039456928129142,,,,,,,
"	3825000	0.125594728	117540	85	1019700	900	1179000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1a3,C1a,3,A,2.352,13,11,90.3,23.3,0.7641793535382977,493200,0.146055437,18540,21,116100,900,114300,0.7527415823553048,1933200,0.142914172,62400,45,270000,900,531000,0.7039456928129142,,,,,,,
"	3825000	0.125594728	117540	85	1019700	900	1179000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1a4,C1a,4,A,2.682,28,18,90.3,23.3,0.7641793535382977,493200,0.146055437,18540,21,116100,900,114300,0.7527415823553048,1933200,0.142914172,62400,45,270000,900,531000,0.7039456928129142,,,,,,,
"	3825000	0.125594728	117540	85	1019700	900	1179000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1b1,C1b,1,B,2.523,15,13,87.4,21.1,0.7750241945417234,1747800,0.514846235,21780,6,1675800,4500,1161900,0.7501680471622306,5508000,0.404681611,63000,21,5076000,900,3861900,0.7637148191339488,9283500,0.302856807,120480,45,8197200,900,6219900
C1b2,C1b,2,B,1.792,6,6,87.4,21.1,0.7750241945417234,1747800,0.514846235,21780,6,1675800,4500,1161900,0.7501680471622306,5508000,0.404681611,63000,21,5076000,900,3861900,0.7637148191339488,9283500,0.302856807,120480,45,8197200,900,6219900
C1b3,C1b,3,B,2.272,11,10,87.4,21.1,0.7750241945417234,1747800,0.514846235,21780,6,1675800,4500,1161900,0.7501680471622306,5508000,0.404681611,63000,21,5076000,900,3861900,0.7637148191339488,9283500,0.302856807,120480,45,8197200,900,6219900
C1b4,C1b,4,B,1.792,6,6,87.4,21.1,0.7750241945417234,1747800,0.514846235,21780,6,1675800,4500,1161900,0.7501680471622306,5508000,0.404681611,63000,21,5076000,900,3861900,0.7637148191339488,9283500,0.302856807,120480,45,8197200,900,6219900
C1c1,C1c,1,C,1.33,6,4,87.7,22.9,0.872166265,660600,0.195264698,20820,10,343800,1800,164700,0.8171995899527635,2418300,0.178419655,71640,22,834300,8100,700200,0.7550306649480034,4992300,0.163662113,142260,60,1154700,900,1613700
